roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roi5,extroi5,roi6,extroi6,dilroi1,dilroi2,dilroi3,dilroi4,dilroi5,dilroi6,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
Left-LGN,.nii.gz,Left-V1_AND_Left-V2,.nii.gz,OR_roi3_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,1,KN27,27,L,LKN27,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Right-LGN,.nii.gz,Right-V1_AND_Right-V2,.nii.gz,OR_roi3_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,1,KN28,28,L,LKN28,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Left-LGN,.nii.gz,Left-V1_AND_Left-V2,.nii.gz,OR_roi3_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,1,KN29,29,L,LKN29,L,KN,0,0,200,20,45,iFoD2,5000,0.1,4,4,100,median,3
Right-LGN,.nii.gz,Right-V1_AND_Right-V2,.nii.gz,OR_roi3_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,1,KN30,30,L,LKN30,L,KN,0,0,200,20,45,iFoD2,5000,0.1,4,4,100,median,3
Left-MGN,.nii.gz,L_A1_Belt,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN31,31,L,LKN31,L,KN,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MGN,.nii.gz,L_A1_Belt,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN32,32,L,LKN32,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Left-MGN,.nii.gz,L_Primary_Auditory_Cortex,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN33,33,L,LKN33,L,KN,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MGN,.nii.gz,L_Primary_Auditory_Cortex,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN34,34,L,LKN34,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Right-MGN,.nii.gz,R_A1_Belt,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN35,35,L,LKN35,L,KN,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MGN,.nii.gz,R_A1_Belt,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN36,36,L,LKN36,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Right-MGN,.nii.gz,R_Primary_Auditory_Cortex,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN37,37,L,LKN37,L,KN,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MGN,.nii.gz,R_Primary_Auditory_Cortex,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN38,38,L,LKN38,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Left-VLp,.nii.gz,Right-Dentate,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Brain-Stem,.nii.gz,NO,.nii.gz,1,2,0,0,0,0,0,KN39,39,L,LKN39,L,KN,0,0,200,20,60,iFoD2,5000,0.05,3,3,100,median,3
Left-VLp,.nii.gz,Right-Dentate,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Brain-Stem,.nii.gz,NO,.nii.gz,1,2,0,0,0,0,0,KN40,40,L,LKN40,L,KN,0,0,200,20,60,iFoD2,5000,0.05,4,4,100,median,3
Right-VLp,.nii.gz,Left-Dentate,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Brain-Stem,.nii.gz,NO,.nii.gz,1,2,0,0,0,0,0,KN41,41,L,LKN41,L,KN,0,0,200,20,60,iFoD2,5000,0.05,3,3,100,median,3
Right-VLp,.nii.gz,Left-Dentate,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Brain-Stem,.nii.gz,NO,.nii.gz,1,2,0,0,0,0,0,KN42,42,L,LKN42,L,KN,0,0,200,20,60,iFoD2,5000,0.05,4,4,100,median,3
Left-VLa_AND_Left-VLp,.nii.gz,L_Primary_Motor_Cortex,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN43,43,L,LKN43,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Right-VLa_AND_Right-VLp,.nii.gz,R_Primary_Motor_Cortex,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN44,44,L,LKN44,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Left-VLa_AND_Left-VLp,.nii.gz,L_dlPremotor,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN45,45,L,LKN45,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Right-VLa_AND_Right-VLp,.nii.gz,R_dlPremotor,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN46,46,L,LKN46,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Left-VLa_AND_Left-VLp,.nii.gz,L_S1,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN47,47,L,LKN47,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Right-VLa_AND_Right-VLp,.nii.gz,R_S1,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,KN48,48,L,LKN48,L,KN,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
