0,1,2,3,4,5,6,7,8,9,10,sub,ses,hemi,A,B
10328,7724,15108,2944,7384,4780,71.495,61.885,0.7052,1.2681,1.1718,S038,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3894,146,3894,146,3748,0,96.2506,0.0,0.1125,0.1969,0.0436,S038,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
9667,3410,10495,2582,7085,828,73.2906,24.2815,0.5525,1.0127,0.7978,S038,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5308,128,5308,128,5180,0,97.5885,0.0,0.1418,0.15,0.0208,S038,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
10033,7899,14933,2999,7034,4900,70.1086,62.0332,0.6277,1.3242,1.1285,S038,02,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3894,146,3894,146,3748,0,96.2506,0.0,0.1125,0.1969,0.0436,S038,02,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
9976,4206,11390,2792,7184,1414,72.0128,33.6186,0.6526,1.0174,0.7986,S038,02,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5308,128,5308,128,5180,0,97.5885,0.0,0.1418,0.15,0.0208,S038,02,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
10572,9140,17540,2172,8400,6968,79.4552,76.2363,0.9958,1.43,1.4899,S037,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
4008,198,4008,198,3810,0,95.0599,0.0,0.0991,0.267,0.0433,S037,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
10672,8710,15577,3805,6867,4905,64.3459,56.3146,0.6014,1.165,1.091,S037,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5723,130,5723,130,5593,0,97.7285,0.0,0.1921,0.1202,0.0199,S037,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
10852,8895,17955,1792,9060,7103,83.4869,79.8539,0.9573,1.5055,1.5074,S037,02,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
4008,198,4008,198,3810,0,95.0599,0.0,0.0991,0.267,0.0433,S037,02,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
12005,6614,14610,4009,7996,2605,66.6056,39.3862,0.6306,1.1349,1.1975,S037,02,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5723,130,5723,130,5593,0,97.7285,0.0,0.1921,0.1202,0.0199,S037,02,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
11537,6560,14339,3758,7779,2802,67.4265,42.7134,0.7071,1.215,0.8293,S036,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3781,145,3781,145,3636,0,96.165,0.0,0.1469,0.1062,0.0585,S036,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
14348,3207,14725,2830,11518,377,80.276,11.7555,0.6909,0.9035,1.5361,S036,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5583,165,5583,165,5418,0,97.0446,0.0,0.1231,0.1491,0.0865,S036,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
12447,6364,14877,3934,8513,2430,68.394,38.1835,0.7049,1.204,0.9323,S036,02,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3781,145,3781,145,3636,0,96.165,0.0,0.1469,0.1062,0.0585,S036,02,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
10888,1719,11192,1415,9473,304,87.004,17.6847,0.6328,0.9236,1.5926,S036,02,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
5583,165,5583,165,5418,0,97.0446,0.0,0.1231,0.1491,0.0865,S036,02,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
16012,11053,20789,6276,9736,4777,60.8044,43.219,0.9243,0.9931,1.1399,S035,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3951,186,3951,186,3765,0,95.2923,0.0,0.1387,0.1991,0.0479,S035,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
13749,6664,15331,5082,8667,1582,63.0373,23.7395,0.8246,1.3358,0.8444,S035,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
7016,148,7016,148,6868,0,97.8905,0.0,0.1508,0.1022,0.0213,S035,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
14956,11870,20541,6285,8671,5585,57.9767,47.0514,0.9897,1.0787,1.209,S035,02,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3951,186,3951,186,3765,0,95.2923,0.0,0.1387,0.1991,0.0479,S035,02,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
13187,3658,13756,3089,10098,569,76.5754,15.5549,0.7301,1.0038,1.2332,S035,02,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
7016,148,7016,148,6868,0,97.8905,0.0,0.1508,0.1022,0.0213,S035,02,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
12822,7507,15209,5120,7702,2387,60.0686,31.797,0.7648,1.2758,0.8566,S034,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3307,155,3307,155,3152,0,95.313,0.0,0.1627,0.0693,0.0596,S034,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
